finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4_v2,CI_E5,CI_E6,CI_E7_v2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_F18_D,CI_F18_O,CI_F19_D,CI_F19_O,CI_F20_D,CI_F20_O,CI_F21_D,CI_F21_O,CI_F22_D,CI_F22_O,CI_F23_D,CI_F23_O,CI_F24_D,CI_F24_O,CI_F25_D,CI_F25_O,CI_F26_D,CI_F26_O,CI_F27_D,CI_F27_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P12_bis,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10
230780058,CH AUBUSSON,DGF,TAA,CH,T1,M1,C1,,"         7,4","        0,76","       18,86",,,"        89,4","        81,5",,,          24,,,,           0,           0,           5,           0,           0,        1008,         138,           0,         541,         280,           0,           0,           0,           0,           1,           0,         244,,         295,          41,           1,           1,,,           2,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 242,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Cataractes : 242,Traumatismes du bassin et des membres : 64,Intervention  peau et tissu sous-cutané : 48,"Occlusions, sub-occlusions digestives : 25",Pathologies ORL et Stomato autres : 16,Infections respiratoires : 213,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 147,Endoscopies digestives avec ou sans anesthésie : 118,"Troubles métaboliques, nutritionnels et obésité : 72",Toxicomanies et alcoolisme : 68,"       11,02","        8,58","        0,04","         0,4",,"      165,48","       28,96","       98,47","         1,7","        7,35",          29,"       1,051","       1,075",,,,,,,       27412,,,"       66,99",         100,         100,"        25,5","         4,5",,,"     43662,5",      933950,"        29,9",,,,          10,"        10,4",
230780066,CH BERNARD DESPLAS BOURGANEUF,DGF,HP,CH,T1,M1,C1,,"         8,8","        0,72","       47,49",,,           0,"        62,6",,,          20,,,,           6,           0,           0,           0,           0,         387,          25,           0,           7,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          34,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 11,"Occlusions, sub-occlusions digestives : 8","Chirurgie Fractures, entorses, luxations, tractions : 3",Intervention  peau et tissu sous-cutané : 2,Trauma crâniens : 1,Infections respiratoires : 72,"Troubles métaboliques, nutritionnels et obésité : 30","Cardiopathies, valvulopathies : 29",Autres affections du système nerveux : 27,Maladies virales et fièvres d'origine inconnue : 27,"        8,77","        6,93","        0,26",,"         0,2","      152,02","       19,13","       91,83",           1,"        5,78","       34,28","       1,232","        1,36",,,,,,,                                      .c,,,           0,,,                                      .c,"         2,2",,           0,,           0,          25,,,,,,
230780074,CH SAINT-VAURY,DGF,TAA,CH,T1,M1,,,           0,           0,           0,,,,,,,,,,,          10,,,,,           0,           0,           0,        1069,           0,           0,           0,           0,           0,           0,           0,           0,,           0,           1,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,Toxicomanies et alcoolisme : 1069,,,,,"       10,34","        1,37",,,,"      371,55","       42,92","      256,01","       19,38","        4,11","       49,13",,,,,,,,,                                      .c,,,,,,,"         7,2",,,,,"        21,6",,,,"        12,6","        12,9",
230780082,CENTRE MÉDICAL NATIONAL STE FEYRE,DGF,HP,EBNL,T1,M1,C1,,"        21,4","        0,68","       14,64",,,           0,"        73,7",,,          34,,           4,,           9,,,,,        2528,          39,           0,         130,          97,           0,        2554,           0,           0,          76,           0,           7,,         192,          12,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Mise en place d'accès vasculaire : 96,"Chirurgie Fractures, entorses, luxations, tractions : 17","Occlusions, sub-occlusions digestives : 12",Chirurgies thoraciques majeures : 5,Intervention  peau et tissu sous-cutané : 2,Explorations nocturnes et apparentées : 1471,Infections respiratoires : 286,"Affections respiratoires, autres : 133",Signes et symptômes : 104,Embolies pulmonaires et détresses respiratoires : 79,"       14,05",          12,,,,"      247,08","       34,65","      147,78","        1,53","        8,79","       54,33","       0,853","       0,839",,,,,,,                                      .c,,,"       71,32","        93,2",,                                      .c,"         0,6",,,,,"        32,6",,,,,,
230780157,CLINIQUE DE LA MARCHE GUERET,OQN,TAA,CLI,T1,M2,C2,,"         5,7",           0,"        0,74",,,"         0,1","        16,5","        27,8",,           4,,           4,,           3,          21,          21,,,         164,         563,           0,        1803,        1502,           0,           0,           0,           0,          97,           0,        1908,,        1533,          13,,,,,           3,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 14,Cataracte : 664,Arthroscopie du genou : 86,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 4,Cataractes : 664,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 305,"Chirurgies main, poignet : 234",Chirurgies utérus / annexes : 175,actes ORL et stomato divers : 126,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 761,Endoscopies digestives avec ou sans anesthésie : 562,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 409,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 40","Endoscopies génito-urinaires, avec ou sans anesthésie : 36",          18,           4,"        10,5",           2,           1,"        60,3","        13,4","        44,6",,           1,"         1,3","       0,865","       0,984",,,,,,,      220697,,,"       72,74","       72,86","       96,99","        32,5",,,           0,       90390,"     45839,2","        11,1",,,,                                      .z,                                      .z,                                      .z
240000042,CH DE BELVES,DGF,HP,CH,T1,M1,C0,,          16,"        1,85","       38,27",,,           0,"        63,7",,,          10,,,,           0,           0,           0,           0,           0,         150,          11,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          25,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 8,Pathologies ORL et Stomato autres : 2,"Chirurgie Fractures, entorses, luxations, tractions : 1",,,Signes et symptômes : 21,Autres affections du système nerveux : 14,Suivi thérap.d'affections connues : 14,"Cardiopathies, valvulopathies : 13",Infections respiratoires : 9,"        1,85","        1,04",,,,"       62,41","        6,07","       45,91","         0,5","        1,47","        8,46","       1,615","       1,916",,,,,,,                                      .c,,,           0,,,                                      .c,"        13,9",,,,,"        29,6",,,,,,
240000059,CH BERGERAC,DGF,TAA,CH,T2,M2,C2,O2,"         6,3","        1,22","       11,61",,,"        68,2",          89,"        82,7","        55,7",          97,,           6,           3,           9,          30,          11,          15,           0,        6703,        1666,         814,        3604,        1559,         247,         590,           0,           0,        1219,         715,        2364,,        1384,          97,           1,           1,,,           4,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 18,Cataracte : 0,Arthroscopie du genou : 74,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 196,Intervention  peau et tissu sous-cutané : 364,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 356,Hernies : 228,Traumatismes du bassin et des membres : 219,Trauma crâniens : 206,Infections respiratoires : 734,Endoscopies digestives avec ou sans anesthésie : 723,affections médicales du nouveau né : 712,Cardiologie autres : 607,Symptômes digestifs : 442,"       57,72","       33,13","         7,4","        4,68","         4,7","      642,64","       91,21","      430,76","        2,43","       39,39","       78,85","        0,89","       0,963","       0,939",,,,,,      208604,"       20,98","       56,11","       48,34","       53,67","       81,12","        64,4","         4,6",,          29,"     13915,3","     84476,9","        30,4","         2,2","         4,3",,"        10,9","        11,1",
240000067,CH DE DOMME,DGF,HP,CH,T1,M1,C0,,"        16,8","        4,67","       20,56",,,           0,"        63,2",,,          10,,,,           1,,           0,,           0,         311,           8,           0,           2,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          13,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 5,"Chirurgie Fractures, entorses, luxations, tractions : 1",Intervention  peau et tissu sous-cutané : 1,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 1,,Suivi thérap.d'affections connues : 107,Infections respiratoires : 36,Signes et symptômes : 28,Autres affections du système nerveux : 26,"Cardiopathies, valvulopathies : 16",           2,"         1,2",,,,"       83,62","        8,53","       43,87","         0,5","        2,16","       28,56","       1,005","       1,075",,,,,,,                                      .c,,,           0,,,                                      .c,"         3,2",,,,,,,,,"        13,5","        19,3",
240000075,CH D'EXCIDEUIL,DGF,HP,CH,T1,M1,C0,,"        16,2",           0,"       49,13",,,           0,"        47,5",,,          10,,,,,,,,,         158,          13,           0,           2,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          22,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 9,"Occlusions, sub-occlusions digestives : 2",Trauma crâniens : 1,Brûlures sans acte opératoire classant : 1,,Toxicomanies et alcoolisme : 32,Maladies virales et fièvres d'origine inconnue : 28,Infections respiratoires : 16,Signes et symptômes : 9,Troubles mentaux d'origine organique et retards mentaux : 8,"         3,2","         2,8",,,,"       52,46","        7,26","       38,28",           1,"        0,93","        4,99","       0,977","       1,582",,,,,,,                                      .c,,,           0,,,                                      .c,"        -0,1",,,,,"        39,7",,,,,,
240000083,CH DE VAUCLAIRE,DGF,TAA,CH,T1,M1,,,           0,           0,"        0,06",,,           0,"       213,6",,,           5,,,,          10,,,,,         293,           0,           0,        2826,           0,           0,           0,           0,           0,           0,           0,           0,,           0,           2,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,Toxicomanies et alcoolisme : 3118,Affections hépatiques sévères et affections du pancréas : 1,,,,"       29,62","        9,98",,,,"      729,01","       79,37","      499,53","       47,53","        4,42","       98,16","       1,402",,,,,,,,                                      .c,,,,,,,"        11,3",,,,,"        15,5",,,,,,
240000109,CH DE NONTRON,DGF,HP,CH,T1,M1,C0,,"        38,8","        6,12","       53,06",,,           0,"        89,1",,,           4,,,,,,,,,          48,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          18,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,"Occlusions, sub-occlusions digestives : 1",,,,,Soins palliatifs : 11,Troubles mentaux d'origine organique et retards mentaux : 5,Maladies osseuses et arthropathies : 3,"Névroses, psychoses et autres troubles mentaux : 3",Autres affections du système nerveux : 2,"        1,64","        1,01",,,,"        87,8","         8,8","       44,64","        0,75","        1,63","       31,98","       2,033","       2,674",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,6",,,,,,,,,,,
240000117,CH DE PERIGUEUX,DGF,TAA,CH,T3,M4,C3,O3,"        13,2","        1,37","       13,93",           0,"        0,13","        64,2","        73,4","       110,8","        63,4",         329,          18,           4,          19,          44,          73,          20,          34,           0,       15018,        4699,        1803,        6278,        3168,         926,        7238,           0,           0,        2461,        1556,        7046,,        2861,         138,           2,           2,,           2,           8,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 628,Arthroscopie du genou : 32,Hernie enfant : 3,RTU prostate : 114,Hernie adulte y compris coelioscopie : 284,Cataractes : 614,"Chirurgies transurétrales, autres : 542",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 461,Stimulateurs / défibrillateurs cardiaques : 419,Hernies : 346,affections médicales du nouveau né : 1610,Infections respiratoires : 1094,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 918,Cardiologie autres : 891,Signes et symptômes : 800,"      189,31","      113,43","       25,03","        8,01","        9,37","     2196,41","      250,25","     1538,99","       19,27","       85,91","      301,99","       1,024","       1,016","       1,017",,,,,,      278637,"       20,82","       77,19","       40,27","       48,06","       82,48",          72,"        11,6",,          36,       15614,       68097,"        31,6","         3,2","         3,6",,"        10,2","         7,6",
240000190,POLYCLINIQUE FRANCHEVILLE,OQN,TAA,CLI,T3,M2,C3,,"        20,7","        0,72","         3,6",,,"        34,3","        39,5","        64,4",,          72,,          12,           2,           4,          60,          41,,           1,        1687,        3668,           0,        3449,        5794,          13,        6782,           0,           0,         344,           0,        8143,,        3343,          76,,,,,          10,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 174,Cataracte : 1247,Arthroscopie du genou : 45,Hernie enfant : 2,RTU prostate : 279,Hernie adulte y compris coelioscopie : 400,Cataractes : 1249,Chirurgies rachis/moelle : 857,"Chirurgies transurétrales, autres : 794",actes ORL et stomato divers : 617,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 490,Endoscopies digestives avec ou sans anesthésie : 1335,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 544,"Autres affections reins, voies urinaires : 334",Maladies osseuses et arthropathies : 227,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 206,"        68,9","        29,4","        21,5",          10,           3,"       383,4",          46,"      316,45","         0,9","       13,05",           7,"       1,074","       0,929",,,,,,,      376223,,,"       61,22","       61,53","       91,08","        64,4",,,           0,"    101896,4",      127594,"        19,4",,,,                                      .z,                                      .z,                                      .z
240000208,CLINIQUE PASTEUR,OQN,TAA,CLI,T2,M1,C2,,"         7,9","        0,04","        1,14",,,           0,"        16,4","        12,7",,           4,,,,           0,          62,           0,,,         108,         770,           0,        2280,        3625,           0,           0,           0,           0,           3,           0,        4074,,        2259,          18,,,,,           8,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 1926,Arthroscopie du genou : 60,Hernie enfant : 0,RTU prostate : 92,Hernie adulte y compris coelioscopie : 118,Cataractes : 1904,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 336,"Chirurgies main, poignet : 309","Arthroscopies, Biopsies ostéo-articulaires : 295","Chirurgies transurétrales, autres : 169",Endoscopies digestives avec ou sans anesthésie : 1127,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 722,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 246,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 77","Endoscopies génito-urinaires, avec ou sans anesthésie : 68","        13,5","         3,5",           7,           3,,         117,"        23,3","        91,2","         0,5",           2,,"       0,765","       0,893",,,,,,,      177392,,,"       82,48","       82,37","       96,98",                                      .c,,,,"    137296,7","    143892,4","        21,8",,,,                                      .z,                                      .z,                                      .z
240000216,CLINIQUE DU PARC,OQN,TAA,CLI,T2,M1,C3,,"         3,6","        0,32","        0,19",,,           0,,"        34,6",,,,,,,          30,          24,,,          84,        1181,           0,        2185,        4601,           0,           0,           0,           0,           0,           0,        5107,,        1938,          12,,,,,           6,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 1603,Arthroscopie du genou : 109,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Cataractes : 1599,"Chirurgies main, poignet : 1138",actes ORL et stomato divers : 726,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 616,"Arthroscopies, Biopsies ostéo-articulaires : 572",Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 961,Endoscopies digestives avec ou sans anesthésie : 884,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 286,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 19","Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 16",          24,"         2,4","        18,5","         2,5",,"       76,75",          10,"       54,95",,"         5,8",           6,"        0,86","       0,969",,,,,,,      347655,,,"       79,36","       79,33","       95,54","        87,7",,,,"    117408,5","     80703,6","        20,1",           1,,,                                      .z,                                      .z,                                      .z
240000448,CH JEAN LECLAIRE,DGF,TAA,CH,T1,M2,C1,O1,"         7,8","        0,44","       15,28",,,"        68,1","        61,6",,"        21,5",          73,,           8,,           3,           0,           5,          15,           0,        2648,         281,         317,        1059,         826,         151,           0,           0,           0,         184,         276,         872,,         909,          56,           1,           1,,,           7,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 450,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 50,Cataractes : 450,Traumatismes du bassin et des membres : 133,Trauma crâniens : 79,Intervention  peau et tissu sous-cutané : 61,Chirurgies rectum/anus (hors résections) : 60,Endoscopies digestives avec ou sans anesthésie : 514,Infections respiratoires : 358,affections médicales du nouveau né : 274,"Cardiopathies, valvulopathies : 243",Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 242,"        32,9","       24,22","        2,53",           1,"         0,8","      461,72","       65,35","       324,6",           4,"       18,04","       49,73","       0,926","       1,051","       0,949",,,,,,       28408,"       18,48","       68,89","       74,62","       97,81","       99,31","        75,1","         2,7",,          29,"     10973,3","     56651,8","        27,9","         4,1","        11,1",,"         9,2","        18,5",
240006734,CENTRE D'HEMODIALYSE FRANCHEVILLE,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,       21486,           3,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,           2,           2,,,,"       56,61",,"       55,66",,,"        0,95",,,,,,,,,                                      .c,,,,,,,,,,,,          35,,,,                                      .z,                                      .z,                                      .z
240016055,CHIC RIBERAC DRONNE DOUBLE,DGF,HP,CH,T1,M1,C0,,"        32,2","         1,4","       38,46",,,           0,          34,,,          25,,,,,,,,,         136,           4,           0,           3,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          26,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 3,"Chirurgie Fractures, entorses, luxations, tractions : 1",,,,Soins palliatifs : 36,Infections respiratoires : 14,Signes et symptômes : 9,"Cardiopathies, valvulopathies : 8","Infections reins et voies urinaires, lithiases : 7","         5,5","         3,6",,,,"      121,71","        6,98","        89,2",           1,           2,"       22,53","       1,795","       3,131",,,,,,,                                      .c,,,           0,,,                                      .c,"         0,9",,,,,"        36,5",,,,,,
250000015,CHU BESANCON,DGF,TAA,CHR,T4,M4,C5,O4,"        14,9","        4,02","        8,37","        1,41","         1,2","        46,6","        79,8","        90,6","        61,5",         559,         124,          67,          53,         125,         332,          33,          70,          14,       30234,       12834,        3347,       22742,        7668,         957,       26452,       31490,       11246,        9047,        2762,       18286,,        6343,         186,           3,           2,           2,           6,          30,           3,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 399,Cataracte : 1195,Arthroscopie du genou : 87,Hernie enfant : 189,RTU prostate : 98,Hernie adulte y compris coelioscopie : 120,Cataractes : 1043,Chirurgies rachis/moelle : 926,Intervention  peau et tissu sous-cutané : 832,"Chirurgies main, poignet : 756",Traumatismes du bassin et des membres : 734,affections médicales du nouveau né : 2885,Signes et symptômes : 2796,Douleurs chroniques : 2038,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 1767,Infections respiratoires : 1712,"      511,15","      264,57","       78,15","       50,11","       12,63","      4473,6","      593,63","     2909,43","       33,71","      325,26","      611,57","       1,123","       1,281","       1,027",,,,,,      265380,"       13,47","       84,69","       37,44","        39,5","       74,34","       106,1","        18,2",,          34,"     16873,2","     75823,9","        23,2","         1,4","         5,4",,"         9,4","        10,3",
250000221,CH PAUL NAPPEZ MORTEAU,DGF,HP,CH,T1,M1,C1,,"        12,7","        1,47","       36,43",,,           0,"        47,8",,,          20,,,,           5,           0,,           0,,         355,          34,           0,          20,           0,           0,           0,           0,           0,          51,           0,           0,,           0,          19,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 24,Trauma crâniens : 3,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 3,Intervention  peau et tissu sous-cutané : 2,"Chirurgie Fractures, entorses, luxations, tractions : 1",Suivi thérap.d'affections connues : 94,Soins palliatifs : 47,Signes et symptômes : 36,Infections respiratoires : 32,Troubles mentaux d'origine organique et retards mentaux : 22,"        1,25","        0,25",,,,"       70,04","        0,74","        66,3",,           2,           1,"       1,009","        0,69",,,,,,,                                      .c,,,           0,,,                                      .c,"         0,6",,,,,"        30,8",,,,,,
250000239,CH SAINTE CROIX BAUME LES DAMES,DGF,HP,CH,T1,M1,C0,,"        32,1","        4,65","       41,86",,,           0,"        88,9",,,          10,,,,           1,           0,           0,           0,           0,         198,          12,           0,           4,           1,           0,           0,           0,           0,          44,           0,           0,,           0,          28,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 6,Trauma crâniens : 3,Intervention  peau et tissu sous-cutané : 3,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 1,,Soins palliatifs : 55,Infections respiratoires : 19,Signes et symptômes : 14,Affections dégénératives du système nerveux : 12,Autres affections du système nerveux : 10,"        0,29","        0,29",,,,"      103,13","       11,74","       61,62","        1,42","        1,07","       27,28","       1,313","       2,037",,,,,,,                                      .c,,,"        7,69",,,                                      .c,"         3,1",,,,,"        22,3",,,,,,
250000270,CLINIQUE SAINT VINCENT BESANCON,OQN,TAA,CLI,T3,M2,C4,,"         9,3","        0,55","        2,07",,,           0,"        39,3","        45,6",,          56,           8,           6,,          20,          76,          44,,,        2467,        4310,           0,        7839,        9608,           0,           0,           0,           0,         102,           0,       12835,,        4939,          44,           1,           1,,,          12,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 84,Cataracte : 2552,Arthroscopie du genou : 1205,Hernie enfant : 0,RTU prostate : 168,Hernie adulte y compris coelioscopie : 512,Cataractes : 2555,"Arthroscopies, Biopsies ostéo-articulaires : 1530",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 1225,Chirurgies rachis/moelle : 1061,Hernies : 674,Endoscopies digestives avec ou sans anesthésie : 2092,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 2003,Cathéthérismes diagnostiques vasculaires et coronariens : 1833,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 1294,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 539,"       90,25",          37,          33,          15,,"      390,42","       53,92","      307,26","        3,15","       12,01","       14,08","        0,86","       0,759",,,,,,,      479608,,,"       69,46","        69,6","       95,18","       102,3",,,,"    100354,7","    127388,2","        30,9",           0,,,                                      .z,                                      .z,                                      .z
